pp_name,premises,latitude,longitude
Chapel,Sirius College - Keysborough Campus,-38.00462801,145.1609522
Charlesworth Park,Livingstone Primary School,-37.85352626,145.1815833
Charlton,Charlton Senior Citizens Centre,-36.26747911,143.3481193
Chatham,Chatham Primary School,-37.81733482,145.0920454
Chatham South,Canterbury Primary School,-37.83092379,145.0829388
Chelsea,Chelsea Activity Hub,-38.05002883,145.1140355
Chelsea Central,Chelsea Primary School,-38.05491427,145.1228616
Chelsea Central,Chelsea Primary School,-38.05491427,145.1228616
Chelsea Heights,Chelsea Heights Primary School,-38.04473702,145.1382945
Cheltenham,Cheltenham Primary School,-37.96902409,145.0549076
Cheltenham East,Cheltenham East Primary School,-37.96498269,145.0682388
Cheltenham East,Cheltenham East Primary School,-37.96498269,145.0682388
Cheltenham North,Cheltenham Secondary College,-37.95400842,145.0683902
Cheltenham South,Cheltenham East Community Centre,-37.97088264,145.0710029
Cheltenham West,Olympic Avenue Kindergarten,-37.96187911,145.0463573
Chewton,Chewton Primary School,-37.08196323,144.2611282
Chiltern,Chiltern Memorial Hall,-36.15105505,146.6120796
Chilwell,Chilwell Primary School,-38.15471275,144.3448805
Chirnside Park,Chirnside Park Primary School,-37.75034667,145.3112225
Chirnside Park,Chirnside Park Primary School,-37.75034667,145.3112225
Churchill,Churchill Shire Hall,-38.31324242,146.4212716
Civic Square,Keystone Hall,-37.80095957,145.2825061
Clarence,Caulfield South Community House Hall,-37.89490209,145.0138848
Clareville,Wellington Secondary College,-37.93388928,145.1706772
Clarinda,Clarinda Primary School,-37.92670357,145.1020107
Clarinda South,Sundowner Neighbourhood House,-37.94356293,145.1075694
Clarkes Hill,St Mary's Catholic School,-37.50062542,143.9886564
Clayton,Fregon Hall,-37.91843217,145.1235576
Clayton East,Clayton Senior Citizens Club,-37.92320218,145.1214103
Clayton North,Monash Uniting Church Hall,-37.91225582,145.124313
Clayton South,Clayton South Primary School,-37.94112657,145.1158964
Cleeland,Dandenong High School - Cleeland Campus,-37.978289,145.2109307
Clifton Hill,Spensley Street Primary School,-37.78680392,145.0034958
Clifton Springs,Clifton Springs Primary School,-38.16572343,144.5536978
Clonbinane,Clonbinane Community Hall,-37.29791276,145.0687313
Clunes,Clunes Primary School,-37.29162078,143.7918585
Clyde,Clyde Public Hall,-38.13181533,145.3298395
Clyde,Clyde Public Hall,-38.13181533,145.3298395
Clyde North,Wilandra Rise Primary School,-38.1087335,145.3197765
Clyde North East,Rivercrest Christian College,-38.08500536,145.3721251
Coatesville,Coatesville Primary School,-37.92008764,145.073735
Coatesville,Coatesville Primary School,-37.92008764,145.073735
Cobains,Cobains Primary School,-38.07468803,147.1327648
Cobden,Cobden Civic Hall,-38.32705937,143.0773217
Cobram,Cobram Civic Centre,-35.91893599,145.651663
Coburg,Coburg Primary School - Junior Campus,-37.74158612,144.9680932
Coburg East,Antonine College - Cedar Campus,-37.74628404,144.9785069
Coburg North,Coburg Special Development School,-37.73280719,144.9518039
Coburg South,Carinya Society,-37.74290478,144.9542153
Coburg West,Coburg West Primary School,-37.74697002,144.9478388
Coburn,Coburn Primary School,-37.69503594,144.5730679
Cockatoo,Cockatoo Community Complex,-37.93693009,145.4911584
Cohuna,Cohuna Memorial Public Hall,-35.81062427,144.2215688
Colac East,Colac Primary School,-38.33650928,143.5982983
Colac West,Colac South West Primary School,-38.34373434,143.5708418
Colbinabbin,Colbinabbin Primary School,-36.59019195,144.801591
Coldstream,Coldstream Community Centre,-37.73255583,145.3825968
Coleraine,Coleraine Primary School,-37.601283,141.684039
Collendina,Bellarine Church of Christ,-38.25773142,144.5503968
Collingwood,Collingwood Secondary College,-37.80331722,144.9905043
Collingwood North,Clifton Hill Primary School,-37.79256218,144.9901467
Comet Hill,Lightning Reef Primary School,-36.73605476,144.2688045
Comet Hill,Lightning Reef Primary School,-36.73605476,144.2688045
Concongella,Concongella Primary School,-37.0493804,142.8226262
Condah,Condah Hall,-37.95531278,141.7464932
Congupna,Congupna Primary School,-36.29996659,145.4343144
Coolaroo,Coolaroo South Primary School,-37.66218674,144.9300369
Cooma,Cooma Recreation Reserve Pavilion,-36.41592738,145.0683683
Coomoora,Keysborough Primary School,-37.98244119,145.1527368
Cora Lynn,Cora Lynn Recreation Reserve Hall,-38.14458862,145.6083219
Coral Park,Coral Park Primary School,-38.0441119,145.2745993
Corinella,Corinella Public Hall,-38.4144618,145.4330464
Corio,Hendy Street Hall (Corio Community Centre),-38.07189897,144.3673722
Corio Central,Northern Bay College - Wexford Court Campus,-38.07235749,144.3516874
Corio West,Northern Bay P-12 College - Goldsworthy Campus,-38.07820052,144.3557248
Cororooke,Cororooke Public Hall,-38.2842452,143.522032
Corryong,Corryong Memorial Hall,-36.19507242,147.9067216
Cotham,Genazzano College,-37.809822,145.056722
Courtenay Gardens,Courtenay Gardens Primary School,-38.08048719,145.2835889
Courtenay Gardens,Courtenay Gardens Primary School,-38.08048719,145.2835889
Cowes,Cowes Primary School,-38.45622988,145.2415521
Cowwarr,Cowwarr Primary School,-38.01366172,146.6991578
Craigieburn,Our Lady's Catholic Primary School,-37.59813274,144.931486
Craigieburn Central,Craigieburn Primary School,-37.58283404,144.9341793
Craigieburn North West,Aitken Creek Primary School,-37.58308933,144.9069617
Craigieburn South,Craigieburn Secondary College,-37.60910547,144.9362252
Craigieburn West,Willmott Park Primary School,-37.59158962,144.9227641
Cranbourne,Cranbourne Primary School,-38.1123305,145.288335
Cranbourne East,Cranbourne East Secondary College,-38.10552981,145.3061207
Cranbourne North East,Cranbourne Carlisle Primary School,-38.08659244,145.288438
Cranbourne North West,Fairhaven Family and Children's Centre,-38.08992239,145.2592866
Cranbourne Park,Cranbourne Park Primary School,-38.10407505,145.2778845
Cranbourne South,Cranbourne South Primary School,-38.14786632,145.2450813
Cranbourne South,Cranbourne South Primary School,-38.14786632,145.2450813
Cranbourne South West,Barton Primary School,-38.11503415,145.2399647
Cranbourne West,Cranbourne West Primary School,-38.10256508,145.2679168
Creekside,Creekside College,-37.73487073,144.7386736
Cressy,Cressy Hall,-38.03030381,143.6341219
Creswick,Creswick Neighbourhood Centre,-37.42233737,143.8924004
Crib Point,Crib Point Primary School,-38.36042623,145.200446
Croxton,St Joseph's Primary School,-37.77500045,144.9965385
Croydon,Croydon Swimming Club Hall,-37.79756838,145.2866753
Croydon Central,Croydon Primary School,-37.79307228,145.2797389
Croydon East,Ruskin Park Primary School,-37.79895791,145.2960403
Croydon Hills,Croydon Hills Primary School,-37.77733964,145.2715102
Croydon North,Brushy Creek Hall,-37.76857599,145.2981113
Croydon North,Brushy Creek Hall,-37.76857599,145.2981113
Croydon West,Ainslie Parklands Primary School,-37.79409247,145.2647327
Cudgewa,Cudgewa Mechanics Institute,-36.18466698,147.7789128
Cullulleraine,Millewa Community Complex,-34.27606537,141.6039922
Dalyston,Dalyston Hall,-38.56418833,145.5428695
Dandenong Central,Dandenong Primary School,-37.98841544,145.2197949
Dandenong North,Lyndale Greens Primary School,-37.96493908,145.2042425
Dandenong South,Dandenong South Primary School,-37.99879834,145.2100325
Dandenong West,Dandenong West Primary School,-37.98101499,145.1997965
Darebin Parklands,Thornbury High School,-37.75687589,145.0265636
Dargo,Dargo Public Hall,-37.45553199,147.2510195
Darley,Darley Primary School,-37.65428021,144.4375789
Darling,Caulfield Grammar School - Malvern,-37.86367797,145.0519799
Darnum,Darnum Primary School,-38.18768937,145.9998106
Darraweit Guim,Darraweit Guim Memorial Hall,-37.40488604,144.8941143
Dartmoor,Dartmoor Hall,-37.92219097,141.2763329
Davies Reserve,Wirringga Scout Hall,-37.92107931,145.1038143
Daylesford,Daylesford Primary School,-37.34563601,144.1417839
Deans Marsh,Deans Marsh Public Hall,-38.3991768,143.8849239
Dederang,Dederang Multi-Purpose Building,-36.47571585,147.0216656
Deepdene,Our Lady of Good Counsel,-37.81138857,145.0632881
Deer Park Central,Victoria University Secondary College - Deer Park Campus,-37.75892292,144.7672255
Deer Park North,Deer Park North Primary School,-37.75622382,144.7734749
Deer Park West,Deer Park West Primary School,-37.7719985,144.7653016
Delacombe,Delacombe Primary School,-37.58558174,143.8175851
Delahey,MacKellar Primary School,-37.71727878,144.7766753
Delbridge,Clifton Hill Presbyterian Church Hall,-37.78736515,144.9906098
Delbridge,Clifton Hill Presbyterian Church Hall,-37.78736515,144.9906098
