sa1,fp_alp,fp_lib,fp_nat,fp_lnp,fp_grn,fp_onp,fp_oth,tcp_alp,tcp_lib,tcp_nat,tcp_lnp,tcp_grn,tcp_onp,tcp_oth,tpp_alp,tpp_lnp
3111603,0.2878,0.3417,0.0,0.3417,0.2937,0.0324,0.0445,0.0,0.4462,0.0,0.4462,0.5538,0.0,0.0,0.5648,0.4352
3111604,0.2866,0.3355,0.0,0.3355,0.3014,0.0323,0.0442,0.0,0.4373,0.0,0.4373,0.5627,0.0,0.0,0.572,0.428
3111605,0.2879,0.3273,0.0,0.3273,0.3026,0.0353,0.0469,0.0,0.4341,0.0,0.4341,0.5659,0.0,0.0,0.5804,0.4196
3111606,0.2884,0.3244,0.0,0.3244,0.3095,0.0332,0.0445,0.0,0.4266,0.0,0.4266,0.5734,0.0,0.0,0.5851,0.4149
3111607,0.2869,0.3278,0.0,0.3278,0.3063,0.0339,0.0451,0.0,0.4311,0.0,0.4311,0.5689,0.0,0.0,0.5808,0.4192
3111608,0.2863,0.3192,0.0,0.3192,0.3126,0.035,0.0469,0.0,0.4231,0.0,0.4231,0.5769,0.0,0.0,0.5883,0.4117
3111609,0.2825,0.3258,0.0,0.3258,0.3116,0.0348,0.0454,0.0,0.4269,0.0,0.4269,0.5731,0.0,0.0,0.5794,0.4206
3111610,0.2823,0.3161,0.0,0.3161,0.3191,0.0351,0.0474,0.0,0.4198,0.0,0.4198,0.5802,0.0,0.0,0.5895,0.4105
3111611,0.2875,0.3246,0.0,0.3246,0.3074,0.0345,0.046,0.0,0.4298,0.0,0.4298,0.5702,0.0,0.0,0.584,0.416
3111701,0.2868,0.3147,0.0,0.3147,0.3127,0.0368,0.049,0.0,0.4205,0.0,0.4205,0.5795,0.0,0.0,0.5912,0.4088
3111702,0.2912,0.324,0.0,0.324,0.3029,0.0355,0.0464,0.0,0.4271,0.0,0.4271,0.5729,0.0,0.0,0.5868,0.4132
3111703,0.2895,0.3195,0.0,0.3195,0.3099,0.0351,0.046,0.0,0.4221,0.0,0.4221,0.5779,0.0,0.0,0.5898,0.4102
3111704,0.2873,0.3163,0.0,0.3163,0.3079,0.0381,0.0504,0.0,0.4272,0.0,0.4272,0.5728,0.0,0.0,0.5897,0.4103
3111705,0.2861,0.3098,0.0,0.3098,0.3141,0.039,0.0509,0.0,0.4191,0.0,0.4191,0.5809,0.0,0.0,0.5949,0.4051
3111706,0.29,0.32,0.0,0.32,0.3041,0.0376,0.0483,0.0,0.4254,0.0,0.4254,0.5746,0.0,0.0,0.5878,0.4122
3111707,0.288,0.3126,0.0,0.3126,0.3128,0.0376,0.0489,0.0,0.4186,0.0,0.4186,0.5814,0.0,0.0,0.5944,0.4056
3111708,0.2876,0.2981,0.0,0.2981,0.3476,0.0268,0.0399,0.0,0.3954,0.0,0.3954,0.6046,0.0,0.0,0.6216,0.3784
3111709,0.2859,0.3237,0.0,0.3237,0.3151,0.0327,0.0425,0.0,0.4254,0.0,0.4254,0.5746,0.0,0.0,0.5852,0.4148
3111710,0.287,0.3144,0.0,0.3144,0.3135,0.0367,0.0484,0.0,0.4192,0.0,0.4192,0.5808,0.0,0.0,0.5931,0.4069
3111711,0.2888,0.3175,0.0,0.3175,0.3112,0.0362,0.0463,0.0,0.4204,0.0,0.4204,0.5796,0.0,0.0,0.591,0.409
3111712,0.2959,0.3342,0.0,0.3342,0.2922,0.0342,0.0435,0.0,0.4389,0.0,0.4389,0.5611,0.0,0.0,0.5795,0.4205
3111713,0.2888,0.317,0.0,0.317,0.3087,0.0369,0.0485,0.0,0.4209,0.0,0.4209,0.5791,0.0,0.0,0.5915,0.4085
3111714,0.2917,0.3257,0.0,0.3257,0.2995,0.0363,0.0469,0.0,0.4334,0.0,0.4334,0.5666,0.0,0.0,0.584,0.416
3111715,0.29,0.3261,0.0,0.3261,0.306,0.034,0.0439,0.0,0.4301,0.0,0.4301,0.5699,0.0,0.0,0.5847,0.4153
3111716,0.2931,0.3274,0.0,0.3274,0.304,0.0329,0.0427,0.0,0.4313,0.0,0.4313,0.5687,0.0,0.0,0.5849,0.4151
3111717,0.2898,0.3205,0.0,0.3205,0.3073,0.035,0.0473,0.0,0.4282,0.0,0.4282,0.5718,0.0,0.0,0.5882,0.4118
3111718,0.2895,0.3203,0.0,0.3203,0.31,0.0343,0.0459,0.0,0.4256,0.0,0.4256,0.5744,0.0,0.0,0.5896,0.4104
3111719,0.2857,0.3115,0.0,0.3115,0.3148,0.0379,0.0501,0.0,0.419,0.0,0.419,0.581,0.0,0.0,0.5941,0.4059
3111720,0.2935,0.3276,0.0,0.3276,0.3034,0.0334,0.042,0.0,0.4317,0.0,0.4317,0.5683,0.0,0.0,0.5845,0.4155
3111721,0.2875,0.324,0.0,0.324,0.3092,0.0345,0.0447,0.0,0.4263,0.0,0.4263,0.5737,0.0,0.0,0.5857,0.4143
3111723,0.2891,0.3202,0.0,0.3202,0.3056,0.0368,0.0482,0.0,0.4286,0.0,0.4286,0.5714,0.0,0.0,0.5872,0.4128
3111724,0.2853,0.3101,0.0,0.3101,0.3116,0.0405,0.0525,0.0,0.4216,0.0,0.4216,0.5784,0.0,0.0,0.5931,0.4069
3111725,0.2857,0.3078,0.0,0.3078,0.3181,0.0382,0.0502,0.0,0.4147,0.0,0.4147,0.5853,0.0,0.0,0.5965,0.4035
3111726,0.2848,0.3115,0.0,0.3115,0.3246,0.033,0.046,0.0,0.4105,0.0,0.4105,0.5895,0.0,0.0,0.5971,0.4029
3111727,0.2874,0.315,0.0,0.315,0.3152,0.0353,0.0471,0.0,0.4195,0.0,0.4195,0.5805,0.0,0.0,0.5938,0.4062
3111728,0.2873,0.3145,0.0,0.3145,0.3133,0.0359,0.0489,0.0,0.4209,0.0,0.4209,0.5791,0.0,0.0,0.5937,0.4063
3111730,0.2874,0.3171,0.0,0.3171,0.3094,0.0378,0.0482,0.0,0.4254,0.0,0.4254,0.5746,0.0,0.0,0.5893,0.4107
3111731,0.2884,0.3164,0.0,0.3164,0.3109,0.036,0.0483,0.0,0.4234,0.0,0.4234,0.5766,0.0,0.0,0.5912,0.4088
3111732,0.2867,0.3152,0.0,0.3152,0.3136,0.0362,0.0483,0.0,0.4206,0.0,0.4206,0.5794,0.0,0.0,0.5918,0.4082
3111733,0.2887,0.313,0.0,0.313,0.3133,0.0361,0.049,0.0,0.4215,0.0,0.4215,0.5785,0.0,0.0,0.5951,0.4049
3111801,0.2843,0.3285,0.0,0.3285,0.3066,0.0343,0.0463,0.0,0.4322,0.0,0.4322,0.5678,0.0,0.0,0.5814,0.4186
3111802,0.2846,0.3294,0.0,0.3294,0.3075,0.0337,0.0448,0.0,0.4311,0.0,0.4311,0.5689,0.0,0.0,0.582,0.418
3111803,0.2844,0.3312,0.0,0.3312,0.3045,0.0342,0.0456,0.0,0.4347,0.0,0.4347,0.5653,0.0,0.0,0.5791,0.4209
3111804,0.2831,0.3373,0.0,0.3373,0.3046,0.0321,0.0428,0.0,0.4367,0.0,0.4367,0.5633,0.0,0.0,0.5752,0.4248
3111805,0.2794,0.3333,0.0,0.3333,0.3103,0.0328,0.0442,0.0,0.4308,0.0,0.4308,0.5692,0.0,0.0,0.5779,0.4221
3111806,0.2847,0.3344,0.0,0.3344,0.3034,0.0337,0.0438,0.0,0.4362,0.0,0.4362,0.5638,0.0,0.0,0.5767,0.4233
3111807,0.2853,0.3314,0.0,0.3314,0.3053,0.0341,0.044,0.0,0.435,0.0,0.435,0.565,0.0,0.0,0.5787,0.4213
3111808,0.2817,0.3205,0.0,0.3205,0.3197,0.0338,0.0442,0.0,0.4211,0.0,0.4211,0.5789,0.0,0.0,0.5885,0.4115
3111809,0.2785,0.3159,0.0,0.3159,0.3278,0.0335,0.0443,0.0,0.4166,0.0,0.4166,0.5834,0.0,0.0,0.5902,0.4098
3111810,0.2813,0.3207,0.0,0.3207,0.3262,0.0309,0.0409,0.0,0.4207,0.0,0.4207,0.5793,0.0,0.0,0.5876,0.4124
3111811,0.2757,0.3124,0.0,0.3124,0.332,0.0347,0.0453,0.0,0.4123,0.0,0.4123,0.5877,0.0,0.0,0.5918,0.4082
3111812,0.2841,0.3245,0.0,0.3245,0.3156,0.0329,0.0429,0.0,0.4283,0.0,0.4283,0.5717,0.0,0.0,0.584,0.416
3111813,0.2864,0.3258,0.0,0.3258,0.3069,0.0346,0.0463,0.0,0.4329,0.0,0.4329,0.5671,0.0,0.0,0.5828,0.4172
3111814,0.2857,0.3253,0.0,0.3253,0.311,0.0338,0.0443,0.0,0.4306,0.0,0.4306,0.5694,0.0,0.0,0.5838,0.4162
3111815,0.2825,0.3197,0.0,0.3197,0.3167,0.0356,0.0456,0.0,0.4241,0.0,0.4241,0.5759,0.0,0.0,0.5867,0.4133
