sa1,fp_alp,fp_lib,fp_nat,fp_lnp,fp_grn,fp_onp,fp_oth,tcp_alp,tcp_lib,tcp_nat,tcp_lnp,tcp_grn,tcp_onp,tcp_oth,tpp_alp,tpp_lnp
1118106,0.1326,0.4149,0.0,0.4149,0.042,0.0666,0.3439,0.0,0.5642,0.0,0.5642,0.0,0.0,0.4358,0.3515,0.6485
1118108,0.1261,0.3796,0.0,0.3796,0.0418,0.0756,0.377,0.0,0.5436,0.0,0.5436,0.0,0.0,0.4564,0.3702,0.6298
1118109,0.1274,0.3934,0.0,0.3934,0.0432,0.0735,0.3625,0.0,0.5539,0.0,0.5539,0.0,0.0,0.4461,0.3642,0.6358
1118110,0.1385,0.4213,0.0,0.4213,0.0514,0.0816,0.3071,0.0,0.6067,0.0,0.6067,0.0,0.0,0.3933,0.3356,0.6644
1118111,0.1268,0.4294,0.0,0.4294,0.049,0.0759,0.3189,0.0,0.5968,0.0,0.5968,0.0,0.0,0.4032,0.3301,0.6699
1118112,0.0978,0.4068,0.0,0.4068,0.033,0.0941,0.3684,0.0,0.5855,0.0,0.5855,0.0,0.0,0.4145,0.3037,0.6963
1118113,0.126,0.3795,0.0,0.3795,0.0409,0.0743,0.3793,0.0,0.5417,0.0,0.5417,0.0,0.0,0.4583,0.3718,0.6282
1118114,0.1234,0.3713,0.0,0.3713,0.0384,0.0753,0.3916,0.0,0.5336,0.0,0.5336,0.0,0.0,0.4664,0.3754,0.6246
1118115,0.1283,0.3804,0.0,0.3804,0.0451,0.0762,0.37,0.0,0.5494,0.0,0.5494,0.0,0.0,0.4506,0.3699,0.6301
1118116,0.1276,0.3864,0.0,0.3864,0.043,0.0737,0.3693,0.0,0.5503,0.0,0.5503,0.0,0.0,0.4497,0.3673,0.6327
1118117,0.1256,0.3728,0.0,0.3728,0.0369,0.0741,0.3906,0.0,0.5341,0.0,0.5341,0.0,0.0,0.4659,0.3727,0.6273
1118118,0.1482,0.4266,0.0,0.4266,0.0664,0.0712,0.2875,0.0,0.613,0.0,0.613,0.0,0.0,0.387,0.3562,0.6438
1118119,0.1474,0.4313,0.0,0.4313,0.061,0.0723,0.288,0.0,0.6157,0.0,0.6157,0.0,0.0,0.3843,0.3525,0.6475
1118120,0.1479,0.43,0.0,0.43,0.0604,0.0719,0.2898,0.0,0.6169,0.0,0.6169,0.0,0.0,0.3831,0.354,0.646
1118201,0.1031,0.3996,0.0,0.3996,0.0432,0.0744,0.3797,0.0,0.5702,0.0,0.5702,0.0,0.0,0.4298,0.3266,0.6734
1118202,0.1325,0.3951,0.0,0.3951,0.0678,0.0637,0.3408,0.0,0.5871,0.0,0.5871,0.0,0.0,0.4129,0.3427,0.6573
1118203,0.1063,0.408,0.0,0.408,0.0409,0.0639,0.3808,0.0,0.57,0.0,0.57,0.0,0.0,0.43,0.3215,0.6785
1118204,0.102,0.4064,0.0,0.4064,0.0407,0.0703,0.3807,0.0,0.5727,0.0,0.5727,0.0,0.0,0.4273,0.321,0.679
1118205,0.105,0.3982,0.0,0.3982,0.0435,0.0718,0.3815,0.0,0.5667,0.0,0.5667,0.0,0.0,0.4333,0.3273,0.6727
1118206,0.1054,0.4108,0.0,0.4108,0.0434,0.0716,0.3688,0.0,0.5792,0.0,0.5792,0.0,0.0,0.4208,0.3215,0.6785
1118207,0.1187,0.4043,0.0,0.4043,0.0514,0.069,0.3567,0.0,0.5781,0.0,0.5781,0.0,0.0,0.4219,0.3333,0.6667
1118208,0.1026,0.4082,0.0,0.4082,0.0404,0.0673,0.3815,0.0,0.5712,0.0,0.5712,0.0,0.0,0.4288,0.323,0.677
1118209,0.1057,0.4137,0.0,0.4137,0.042,0.0649,0.3737,0.0,0.5746,0.0,0.5746,0.0,0.0,0.4254,0.3189,0.6811
1118210,0.1001,0.4053,0.0,0.4053,0.0412,0.0715,0.3819,0.0,0.5711,0.0,0.5711,0.0,0.0,0.4289,0.3234,0.6766
1118211,0.0989,0.4019,0.0,0.4019,0.0407,0.0717,0.3868,0.0,0.5675,0.0,0.5675,0.0,0.0,0.4325,0.3266,0.6734
1118212,0.1005,0.4025,0.0,0.4025,0.0398,0.0708,0.3865,0.0,0.5665,0.0,0.5665,0.0,0.0,0.4335,0.3276,0.6724
1118213,0.101,0.4056,0.0,0.4056,0.0417,0.068,0.3837,0.0,0.5707,0.0,0.5707,0.0,0.0,0.4293,0.3228,0.6772
1118214,0.1023,0.4048,0.0,0.4048,0.0423,0.0692,0.3814,0.0,0.5716,0.0,0.5716,0.0,0.0,0.4284,0.3253,0.6747
1118215,0.1019,0.4086,0.0,0.4086,0.0394,0.0669,0.3833,0.0,0.5714,0.0,0.5714,0.0,0.0,0.4286,0.3196,0.6804
1118216,0.1078,0.4124,0.0,0.4124,0.0408,0.0648,0.3742,0.0,0.5781,0.0,0.5781,0.0,0.0,0.4219,0.3204,0.6796
1118217,0.1127,0.4169,0.0,0.4169,0.0435,0.0619,0.3649,0.0,0.5891,0.0,0.5891,0.0,0.0,0.4109,0.3207,0.6793
